元表記,出現頻度,正規化後,url,タイプ,チェック,正規化（変更案）,url（変更案）,タイプ
赤鬼大老にたとへ引一ツ橋の大将赤鬼を見ておそれるといふ事なり小鬼ハ御幼君女御台所か,1,赤鬼大老にたとへ引一ツ橋の大将赤鬼を見ておそれるといふ事なり小鬼ハ御幼君女御台所か,,,,,,
道化武者づくし　三ツ目入道頼光及び四天王の図,1,道化武者づくし　三ツ目入道頼光及び四天王の図,,,,,,
0380-17-1-(5),1,0380-17-1-(5),,,,,,
12.2×12.8㎝,1,12.2×12.8㎝,,,,,,
三ツ目入道ハ水戸卿巣ニ蜘ニ一ツ目小僧ハ三品よせて頭の字こと葉にし見給ふべし頼光ハ大老四天王ハ四老中其訳三と目をす。く。め。るとの談合を此絵にはんじさせし事文字見てはんじ給へ,1,三ツ目入道ハ水戸卿巣ニ蜘ニ一ツ目小僧ハ三品よせて頭の字こと葉にし見給ふべし頼光ハ大老四天王ハ四老中其訳三と目をす。く。め。るとの談合を此絵にはんじさせし事文字見てはんじ給へ,,,,,,
道化武者づくし　芸者に唐人の箱持の図,1,道化武者づくし　芸者に唐人の箱持の図,,,,,,
0380-17-1-(6),1,0380-17-1-(6),,,,,,
芸者に唐人の箱持していそがしく歩行く其訳ハ唐人のとうニにごりうちてげいどうはげむといふ事,1,芸者に唐人の箱持していそがしく歩行く其訳ハ唐人のとうニにごりうちてげいどうはげむといふ事,,,,,,
青物魚軍勢大合戦之図,1,青物魚軍勢大合戦之図,,,,,,
0380-17-1-(7),1,0380-17-1-(7),,,,,,
広景画,1,広景画,,,,,,
安政６年１０月(18590100550),1,安政６年１０月(18590100550),,,,,,
未十改,1,未十改,,,,,,
安政６年７月下旬より去年行はれし暴瀉病ふたたび行はれ,1,安政６年７月下旬より去年行はれし暴瀉病ふたたび行はれ,,,,,,
男女死亡多し,1,男女死亡多し,,,,,,
９月に至りて止む,1,９月に至りて止む,,,,,,
破奇術頼光袴垂為搦,1,破奇術頼光袴垂為搦,,,,,,
0380-17-1-(8),1,0380-17-1-(8),,,,,,
袴垂保輔,1,袴垂保輔,,,,,,
源頼光,1,源頼光,https://ja.wikipedia.org/wiki/源頼光,Person,OK,,,
占部季武,1,占部季武,,,,,,
平井保昌,1,藤原保昌,https://ja.wikipedia.org/wiki/藤原保昌,Keyword,変更,,,Person
渡辺綱,1,渡辺綱,https://ja.wikipedia.org/wiki/渡辺綱,Person,OK,,,
大蛇,1,大蛇,https://ja.wikipedia.org/wiki/大蛇,Keyword,OK,,,
きじゅつをやぶってよりみつはかまだれをからめんとす,1,きじゅつをやぶってよりみつはかまだれをからめんとす,,,,,,
後筆にて,1,後筆にて,,,,,,
安政５年将軍毒殺人諷刺,1,安政５年将軍毒殺人諷刺,,,,,,
但し４月だからどうか,1,但し４月だからどうか,,,,,,
0380-17-1-(9),1,0380-17-1-(9),,,,,,
唐人つつら中のり三頭ばなし,1,唐人つつら中のり三頭ばなし,,,,,,
0380-17-1-(10),1,0380-17-1-(10),,,,,,
安政期？(55550550552),1,安政期？(55550550552),,,,,,
つづらを背負った男を西洋人が指さす図,落のある詞書あり,1,つづらを背負った男を西洋人が指さす図,落のある詞書あり,,,,
これかほんの唐人につづらねへだ,1,これかほんの唐人につづらねへだ,,,,,,
万国道戯づくし,1,万国道戯づくし,,,,,,
0380-17-1-(11),1,0380-17-1-(11),,,,,,
芳幾戯筆,1,芳幾戯筆,,,,,,
文久元年８月(18610080550),1,文久元年８月(18610080550),,,,,,
林家庄五郎,1,林家庄五郎,,,,,,
酉八改,1,酉八改,,,,,,
西洋人鼡を捕えようとする図,1,西洋人鼡を捕えようとする図,,,,,,
大ダコのきものを見てこわがる西洋人の図,1,大ダコのきものを見てこわがる西洋人の図,,,,,,
犬に端をくわえられた西洋婦人の図,1,犬に端をくわえられた西洋婦人の図,,,,,,
西洋人が子供のもっているおもちゃをくれという図,1,西洋人が子供のもっているおもちゃをくれという図,,,,,,
0380-17-1-(12),1,0380-17-1-(12),,,,,,
船乗り,1,船員,https://ja.wikipedia.org/wiki/船員,Keyword,OK,,,
日傭取りと船乗りが酒宴をひらいている画,1,日傭取りと船乗りが酒宴をひらいている画,,,,,,
０３８０－１７－４－,1,０３８０－１７－４－,,,,,,
甲陽川中島大合戦,1,甲陽川中島大合戦,,,,,,
0380-17-1-(13),1,0380-17-1-(13),,,,,,
増田屋,1,増田屋,https://ja.wikipedia.org/wiki/増田屋,Keyword,変更,増田屋銀次郎,,
ナ,1,な,https://ja.wikipedia.org/wiki/な,Keyword,NG,,,
武田信繁,1,武田信繁,https://ja.wikipedia.org/wiki/武田信繁,Person,OK,,,
武田耕雲斎,1,武田耕雲斎,https://ja.wikipedia.org/wiki/武田耕雲斎,Keyword,OK,,,
山は筑波山,1,山は筑波山,,,,,,
おそろししのけだもの,1,おそろししのけだもの,,,,,,
0380-17-1-(14),1,0380-17-1-(14),,,,,,
慶応元年カ(18650550551),1,慶応元年カ(18650550551),,,,,,
武士と西洋人清国人の首引の図,1,武士と西洋人清国人の首引の図,,,,,,
0380-17-1-(15),1,0380-17-1-(15),,,,,,
歌詞よりして英国艦隊対幕交渉の時のもの,1,歌詞よりして英国艦隊対幕交渉の時のもの,,,,,,
町々こまるや,1,町々こまるや,,,,,,
なんのかんのとこまる,1,なんのかんのとこまる,,,,,,
江戸がいやなら田舎へちょいとごされ,1,江戸がいやなら田舎へちょいとごされ,,,,,,
おふやこまった,1,おふやこまった,,,,,,
ちゃうちゃうさふどふや,1,ちゃうちゃうさふどふや,,,,,,
いきりすがぢゃアまアて,1,いきりすがぢゃアまアて,,,,,,
よこはまで,1,よこはまで,,,,,,
さわぐのハ,1,さわぐのハ,,,,,,
家主地主に廓うち,1,家主地主に廓うち,,,,,,
おっちょこちょいのちょい,1,おっちょこちょいのちょい,,,,,,
こっちへこいのこい,1,こっちへこいのこい,,,,,,
世の中天眼鏡,1,世の中天眼鏡,,,,,,
0380-17-1-(16),1,0380-17-1-(16),,,,,,
板倉勝静,1,板倉勝静,https://ja.wikipedia.org/wiki/板倉勝静,Person,OK,,,
土佐？,1,土佐？,,,,,,
前列は水戸？,1,前列は水戸？,,,,,,
もう一人は不明,1,もう一人は不明,,,,,,
昔はなし舌切雀,1,昔はなし舌切雀,,,,,,
0380-17-1-(17),1,0380-17-1-(17),,,,,,
元治元年８月(18640080550),1,元治元年８月(18640080550),,,,,,
子八改,1,子八改,,,,,,
鎌倉栄餅舂,1,鎌倉栄餅舂,,,,,,
0380-17-1-(18),1,0380-17-1-(18),,,,,,
応需立祥,1,応需立祥,,,,,,
二代目広重,1,二代目広重,,,,,,
金鱗堂,1,金鱗堂,,,,,,
正物偽物天狗の寄合,1,正物偽物天狗の寄合,,,,,,
0380-17-1-(19),1,0380-17-1-(19),,,,,,
象は朝廷か？,1,象は朝廷か？,,,,,,
大酒ノ大会,1,大酒ノ大会,,,,,,
0380-17-1-(20),1,0380-17-1-(20),,,,,,
安政５年８月(18580080550),1,安政５年８月(18580080550),,,,,,
午八,1,午八,,,,,,
布袋さん唐子遊,1,布袋さん唐子遊,,,,,,
0380-17-1-(21),1,0380-17-1-(21),,,,,,
布袋,1,布袋,https://ja.wikipedia.org/wiki/布袋,Keyword,OK,,,
唐子,1,唐子,https://ja.wikipedia.org/wiki/唐子,Keyword,OK,,,
唐子の紋が大名をあらわしている。薩摩,1,唐子の紋が大名をあらわしている。薩摩,,,,,,
福井,1,福井,https://ja.wikipedia.org/wiki/福井,Keyword,OK,,,
因州,1,因幡国,https://ja.wikipedia.org/wiki/因幡国,Keyword,OK,,,
岡山か？,1,岡山か？,,,,,,
0380-17-1-(22),1,0380-17-1-(22),,,,,,
土佐画巻物之写,1,土佐画巻物之写,,,,,,
0380-17-1-(23),1,0380-17-1-(23),,,,,,
一勇斎国芳,1,歌川国芳,https://ja.wikipedia.org/wiki/歌川国芳,Person,OK,,,
万延元年１２月(18600120550),1,万延元年１２月(18600120550),,,,,,
申十二改,1,申十二改,,,,,,
源平首引戯図,1,源平首引戯図,,,,,,
0380-17-1-(24),1,0380-17-1-(24),,,,,,
けんへいくびひきたわむれのづ,1,けんへいくびひきたわむれのづ,,,,,,
平敦盛,1,平敦盛,https://ja.wikipedia.org/wiki/平敦盛,Person,OK,,,
平忠度,1,平忠度,https://ja.wikipedia.org/wiki/平忠度,Person,OK,,,
平宗盛,1,平宗盛,https://ja.wikipedia.org/wiki/平宗盛,Person,OK,,,
平知盛,1,平知盛,https://ja.wikipedia.org/wiki/平知盛,Person,OK,,,
平教経,1,平教経,https://ja.wikipedia.org/wiki/平教経,Person,OK,,,
平景清,1,藤原景清,https://ja.wikipedia.org/wiki/藤原景清,Keyword,変更,,,Person
越中前司盛俊,1,越中前司盛俊,,,,,,
源範頼,1,源範頼,https://ja.wikipedia.org/wiki/源範頼,Person,OK,,,
梶原景時,1,梶原景時,https://ja.wikipedia.org/wiki/梶原景時,Person,OK,,,
狂画芋だこ合戦のづ,1,狂画芋だこ合戦のづ,,,,,,
0380-17-1-(25),1,0380-17-1-(25),,,,,,
名物合戦之図,1,名物合戦之図,,,,,,
0380-17-1-(26),1,0380-17-1-(26),,,,,,
諸色大合戦,1,諸色大合戦,,,,,,
0380-17-1-(27),1,0380-17-1-(27),,,,,,
当世道外遊,1,当世道外遊,,,,,,
0380-17-1-(28),1,0380-17-1-(28),,,,,,
文久銭,1,文久永宝,https://ja.wikipedia.org/wiki/文久永宝,Keyword,OK,,,
四文銭,1,四文銭,,,,,,
青銭,1,青銭,,,,,,
白銭,1,白銭,,,,,,
文銭,1,文銭,,,,,,
文久銭が天保銭にまけている図,1,文久銭が天保銭にまけている図,,,,,,
文久銭は文久３年より鋳造,1,文久銭は文久３年より鋳造,,,,,,
銭太平金相場合戦,1,銭太平金相場合戦,,,,,,
0380-17-1-(29),1,0380-17-1-(29),,,,,,
芋喰僧正魚説法,1,芋喰僧正魚説法,,,,,,
0380-17-1-(30),1,0380-17-1-(30),,,,,,
一恵斎芳幾戯画印,1,一恵斎芳幾戯画印,,,,,,
安政６年１２月(18590120550),1,安政６年１２月(18590120550),,,,,,
未十二改,1,未十二改,,,,,,
珍説,1,珍説,,,,,,
仮名垣魯文の狂歌,1,仮名垣魯文の狂歌,,,,,,
岳亭春信の戯誌,1,岳亭春信の戯誌,,,,,,
安政６年１１月,1,安政６年１１月,,,,,,
タコ大いにつれ,1,タコ大いにつれ,,,,,,
魚店毎にこの魚を商ふ,1,魚店毎にこの魚を商ふ,,,,,,
おでんや,1,おでんや,,,,,,
でタコを出したからであろう,1,でタコを出したからであろう,,,,,,
官金取立寄合,1,官金取立寄合,,,,,,
0380-17-1-(31),1,0380-17-1-(31),,,,,,
とるとれぬういた浮世の其中を杖にてわたる一名城かた,1,とるとれぬういた浮世の其中を杖にてわたる一名城かた,,,,,,
道化六歌仙,1,道化六歌仙,,,,,,
0380-17-1-(32),1,0380-17-1-(32),,,,,,
明治元年３月,1,明治元年３月,,,,,,
-18680030550,1,-18680030550,,,,,,
清正,1,清正,,,,,,
黒ぬり,1,黒ぬり,,,,,,
七五三,1,七五三,https://ja.wikipedia.org/wiki/七五三,Keyword,OK,,,
はかた,1,はかた,,,,,,
勝魚節,1,勝魚節,,,,,,
大根,1,ダイコン,https://ja.wikipedia.org/wiki/ダイコン,Keyword,OK,,,
いせゑひ,1,いせゑひ,,,,,,
橙,1,橙,https://ja.wikipedia.org/wiki/橙,Keyword,OK,,,
二八宝丁,1,二八宝丁,,,,,,
桜橋などの文字あり,1,桜橋などの文字あり,,,,,,
墨で,1,墨で,,,,,,
慶応戊辰４月３日購賈貳伯拾陸孔,1,慶応戊辰４月３日購賈貳伯拾陸孔,,,,,,
諸人成田山参詣之図,1,諸人成田山参詣之図,,,,,,
0380-17-1-(33),1,0380-17-1-(33),,,,,,
江戸講,1,江戸講,,,,,,
世の中持寄楽み鍋,1,世の中持寄楽み鍋,,,,,,
0380-17-1-(35),1,0380-17-1-(35),,,,,,
玉斎画,1,玉斎画,,,,,,
江川隼太永修脱走兵を鎮撫するの図,1,江川隼太永修脱走兵を鎮撫するの図,,,,,,
0380-17-1-(36),1,0380-17-1-(36),,,,,,
応需蜂須賀国明卍,1,応需蜂須賀国明卍,,,,,,
明治１３年１２月届(18800120550),1,明治１３年１２月届(18800120550),,,,,,
松木平吉,1,松木平吉,https://ja.wikipedia.org/wiki/松木平吉,Keyword,OK,,,
両国吉川町２,1,両国吉川町２,,,,,,
彫定門人原田彫末,1,彫定門人原田彫末,,,,,,
江川隼太,1,江川隼太,,,,,,
説明あり,1,説明あり,,,,,,
舟橋で鎮撫,1,舟橋で鎮撫,,,,,,
幕府軍事掛鎮静方頭取,1,幕府軍事掛鎮静方頭取,,,,,,
後に静岡に移住して一等勤番組,1,後に静岡に移住して一等勤番組,,,,,,
三方原居住,1,三方原居住,,,,,,
開墾に従事,1,開墾に従事,,,,,,
明治孝説録にあり,1,明治孝説録にあり,,,,,,
金太郎勢桃太郎勢相撲の図,1,金太郎勢桃太郎勢相撲の図,,,,,,
0380-17-1-(37),1,0380-17-1-(37),,,,,,
大錫杖を武士２名倒さんとするの図),1,大錫杖を武士２名倒さんとするの図),,,,,,
0380-17-1-(38),1,0380-17-1-(38),,,,,,
明治元年カ,1,明治元年カ,,,,,,
-18680550551,1,-18680550551,,,,,,
見立十二ヶ月,1,見立十二ヶ月,,,,,,
0380-17-1-(39),1,0380-17-1-(39),,,,,,
海上安全万代寿,1,海上安全万代寿,,,,,,
0380-17-1-(40),1,0380-17-1-(40),,,,,,
暁斎初名,1,暁斎初名,,,,,,
千代寿士大平,1,千代寿士大平,,,,,,
0380-17-1-(41),1,0380-17-1-(41),,,,,,
年中行事,1,年中行事,https://ja.wikipedia.org/wiki/年中行事,Keyword,OK,,,
高砂,1,高砂,https://ja.wikipedia.org/wiki/高砂,Keyword,OK,,,
謡曲,1,謡曲,https://ja.wikipedia.org/wiki/謡曲,Keyword,OK,,,
千代寿豊年季,1,千代寿豊年季,,,,,,
0380-17-1-(42),1,0380-17-1-(42),,,,,,
千代寿工はんゑい,1,千代寿工はんゑい,,,,,,
0380-17-1-(43),1,0380-17-1-(43),,,,,,
手斧始め,1,手斧始め,,,,,,
千代寿商はん昌,1,千代寿商はん昌,,,,,,
0380-17-1-(44),1,0380-17-1-(44),,,,,,
百器夜行,1,百器夜行,,,,,,
0380-17-1-(45),1,0380-17-1-(45),,,,,,
応需魁斎芳年写,1,応需魁斎芳年写,,,,,,
慶応元年９月カ,1,慶応元年９月カ,,,,,,
うすくて不確定,1,うすくて不確定,,,,,,
-18650090551,1,-18650090551,,,,,,
丑九改カ,1,丑九改カ,,,,,,
世の中のおなしすかたを列へたて音のよしあし虫にきかせん,1,世の中のおなしすかたを列へたて音のよしあし虫にきかせん,,,,,,
0380-17-1-(46),1,0380-17-1-(46),,,,,,
虫売り,1,虫売り,https://ja.wikipedia.org/wiki/虫売り,Keyword,OK,,,
浮世絵大津之連中醉眠の画,1,浮世絵大津之連中醉眠の画,,,,,,
0380-17-1-(47),1,0380-17-1-(47),,,,,,
応需惺々,1,応需惺々,,,,,,
0380-17-1-(48),1,0380-17-1-(48),,,,,,
文久期カ,1,文久期カ,,,,,,
-55550550551,1,-55550550551,,,,,,
狂画くひかせ,1,狂画くひかせ,,,,,,
0380-17-1-(49),1,0380-17-1-(49),,,,,,
腕相撲などの図あり,1,腕相撲などの図あり,,,,,,
薩摩他の紋あり,1,薩摩他の紋あり,,,,,,
世の中ごますり,1,世の中ごますり,,,,,,
0380-17-1-(50),1,0380-17-1-(50),,,,,,
外国人の姿あり,1,外国人の姿あり,,,,,,
古今こん悪狐退治,1,古今こん悪狐退治,,,,,,
0380-17-1-(51),1,0380-17-1-(51),,,,,,
妖狐,1,妖狐,https://ja.wikipedia.org/wiki/妖狐,Keyword,OK,,,
諸物大樹にあげられるの図,1,諸物大樹にあげられるの図,,,,,,
0380-17-1-(52),1,0380-17-1-(52),,,,,,
応需重政戯画,1,応需重政戯画,,,,,,
榑正町,1,日本橋_(東京都中央区),https://ja.wikipedia.org/wiki/日本橋_(東京都中央区),Place,OK,,,
横川彫竹,1,横川彫竹,,,,,,
了古の詞書あり,1,了古の詞書あり,,,,,,
富士山諸人参詣之図,1,富士山諸人参詣之図,,,,,,
0380-17-1-(53),1,0380-17-1-(53),,,,,,
一雄国輝,1,一雄国輝,,,,,,
慶応元年６月(18650060550),1,慶応元年６月(18650060550),,,,,,
丑六改,1,丑六改,,,,,,
富士山,1,富士山,https://ja.wikipedia.org/wiki/富士山,Mountain,OK,,,
しん板福来家の[後欠],1,しん板福来家の[後欠],,,,,,
0380-17-1-(54),1,0380-17-1-(54),,,,,,
矢場,1,矢場,,,,,,
吹矢,1,吹き矢,https://ja.wikipedia.org/wiki/吹き矢,Keyword,OK,,,
３枚続の内,1,３枚続の内,,,,,,
左の１枚欠,1,左の１枚欠,,,,,,
善悪しあんさい中,1,善悪しあんさい中,,,,,,
0380-17-1-(55),1,0380-17-1-(55),,,,,,
日傭,1,日雇い,https://ja.wikipedia.org/wiki/日雇い,Keyword,OK,,,
人足,1,人足,https://ja.wikipedia.org/wiki/人足,Keyword,NG,,,
馬子,1,駄賃馬稼,https://ja.wikipedia.org/wiki/駄賃馬稼,Keyword,OK,,,
雲助,1,雲助,https://ja.wikipedia.org/wiki/雲助,Keyword,OK,,,
舟頭,1,舟頭,,,,,,
旅篭屋のことが頭にある持丸に,1,旅篭屋のことが頭にある持丸に,,,,,,
廻り髪結,1,廻り髪結,,,,,,
米屋,1,米屋,https://ja.wikipedia.org/wiki/米屋,Keyword,OK,,,
薪屋,1,薪屋,,,,,,
お太鼓,1,お太鼓,,,,,,
御囲,1,犬小屋_(江戸幕府),https://ja.wikipedia.org/wiki/犬小屋_(江戸幕府),Keyword,OK,,,
おかこ,1,おかこ,,,,,,
がとりついている,1,がとりついている,,,,,,
八百屋,1,八百屋,https://ja.wikipedia.org/wiki/八百屋,Keyword,OK,,,
魚屋,1,鮮魚店,https://ja.wikipedia.org/wiki/鮮魚店,Keyword,OK,,,
物貰いがかけつけている,1,物貰いがかけつけている,,,,,,
世の中難ぢうりやうじ,1,世の中難ぢうりやうじ,,,,,,
0380-17-1-(56),1,0380-17-1-(56),,,,,,
弟子達に任せて出たる先生の帰り待侘難病の人,1,弟子達に任せて出たる先生の帰り待侘難病の人,,,,,,
気の尾佐丸述とあり,1,気の尾佐丸述とあり,,,,,,
場末大屋,1,場末大屋,,,,,,
横浜商人,1,横浜商人,,,,,,
舟人,1,舟人,,,,,,
唐人などと医者の会話あり,1,唐人などと医者の会話あり,,,,,,
0380-17-1-(57),1,0380-17-1-(57),,,,,,
浮世又平師匠の追善に百万べんをする図,1,浮世又平師匠の追善に百万べんをする図,,,,,,
0380-17-1-(58),1,0380-17-1-(58),,,,,,
応需広重戯画,1,応需広重戯画,,,,,,
流行はい尽し,1,流行はい尽し,,,,,,
0380-17-1-(59),1,0380-17-1-(59),,,,,,
万延元年４月(18600040550),1,万延元年４月(18600040550),,,,,,
上州屋重兵衛,1,上州屋重兵衛,,,,,,
申四改,1,申四改,,,,,,
風呂,1,風呂,https://ja.wikipedia.org/wiki/風呂,Keyword,OK,,,
ほやほやできたていっぱいとあり,1,ほやほやできたていっぱいとあり,,,,,,
元祖壱はいとあり,1,元祖壱はいとあり,,,,,,
浮世たとえ,1,浮世たとえ,,,,,,
0380-17-1-(60),1,0380-17-1-(60),,,,,,
鬼に金棒,1,金砕棒,https://ja.wikipedia.org/wiki/金砕棒,Keyword,OK,,,
ざかしうて売りそこなわず,1,ざかしうて売りそこなわず,,,,,,
忰が身を喰う,1,忰が身を喰う,,,,,,
上見れば方図なし,1,上見れば方図なし,,,,,,
似た者夫婦等,1,似た者夫婦等,,,,,,
それぞれの絵あり,1,それぞれの絵あり,,,,,,
兵隊の服装で慶応期とする,1,兵隊の服装で慶応期とする,,,,,,
浮世多登恵,1,浮世多登恵,,,,,,
0380-17-1-(61),1,0380-17-1-(61),,,,,,
文久２年５月(18620050550),1,文久２年５月(18620050550),,,,,,
戌五改,1,戌五改,,,,,,
0380-17-1-(62),1,0380-17-1-(62),,,,,,
浮世夢はなし,1,浮世夢はなし,,,,,,
0380-17-1-(63),1,0380-17-1-(63),,,,,,
戌三改,1,戌三改,,,,,,
しん板どうけ,1,しん板どうけ,,,,,,
0380-17-1-(64),1,0380-17-1-(64),,,,,,
一英斎艶長画印,1,一英斎艶長画印,,,,,,
慶応２年９月(18660090550),1,慶応２年９月(18660090550),,,,,,
辻岡屋亀吉,1,辻岡屋亀吉,,,,,,
辻亀板,1,辻亀板,,,,,,
寅九改,1,寅九改,,,,,,
0380-17-1-(65),1,0380-17-1-(65),,,,,,
大そふじ,1,大そふじ,,,,,,
0380-17-1-(66),1,0380-17-1-(66),,,,,,
通用金と書かれた雲龍水を押して出させようとしている図,1,通用金と書かれた雲龍水を押して出させようとしている図,,,,,,
0380-17-1-(67),1,0380-17-1-(67),,,,,,
９,1,９,,,,,,
大政奉還と一応する,1,大政奉還と一応する,,,,,,
倶足円満菩薩の法へん,1,倶足円満菩薩の法へん,,,,,,
0380-17-1-(68),1,0380-17-1-(68),,,,,,
土地面画,1,土地面画,,,,,,
塔を積む賽の河原の石よりも地獄の沙汰は是次第なり,1,塔を積む賽の河原の石よりも地獄の沙汰は是次第なり,,,,,,
仏は百両を手に置いている,1,仏は百両を手に置いている,,,,,,
当時見立画づくし,1,当時見立画づくし,,,,,,
0380-17-2-(1),1,0380-17-2-(1),,,,,,
出多羅名人画,1,出多羅名人画,,,,,,
金貸,1,金貸,,,,,,
鉄砲鍛治,1,鉄砲鍛治,,,,,,
髪結,1,髪結い,https://ja.wikipedia.org/wiki/髪結い,Keyword,OK,,,
会席茶屋,1,会席茶屋,,,,,,
その日くらし,1,その日くらし,,,,,,
物貰い,1,ものもらい,https://ja.wikipedia.org/wiki/ものもらい,Keyword,OK,,,
屋敷商人が西洋人をなぐり,1,屋敷商人が西洋人をなぐり,,,,,,
車力と雲助がそれを止めている図,1,車力と雲助がそれを止めている図,,,,,,
金になる木金にならぬ木,1,金になる木金にならぬ木,,,,,,
0380-17-2-(2),1,0380-17-2-(2),,,,,,
あふな木が横浜の商人となっているので,1,あふな木が横浜の商人となっているので,,,,,,
文久３年４月カとする,1,文久３年４月カとする,,,,,,
ごぞんじ戯勝負,1,ごぞんじ戯勝負,,,,,,
0380-17-2-(3),1,0380-17-2-(3),,,,,,
天皇対和宮と天璋院,1,天皇対和宮と天璋院,,,,,,
彦根と会津,1,彦根と会津,,,,,,
幕兵,1,幕兵,,,,,,
庄内と長州,1,庄内と長州,,,,,,
尾州と仙台,1,尾州と仙台,,,,,,
土佐と徳川慶喜,1,土佐と徳川慶喜,,,,,,
髪結床に諸人集うの図,1,髪結床に諸人集うの図,,,,,,
0380-17-2-(4),1,0380-17-2-(4),,,,,,
梅玉戯筆,1,梅玉戯筆,,,,,,
髪結床,1,髪結い,https://ja.wikipedia.org/wiki/髪結い,Keyword,OK,,,
髪結は会津,1,髪結は会津,,,,,,
当時流好諸喰商人尽,1,当時流好諸喰商人尽,,,,,,
0380-17-2-(5),1,0380-17-2-(5),,,,,,
明治元年４月頃(18680040770),1,明治元年４月頃(18680040770),,,,,,
猪が,1,猪が,,,,,,
あんまりでてあるくとみんな子どもがいやがるからよそう,1,あんまりでてあるくとみんな子どもがいやがるからよそう,,,,,,
商人,1,商人,https://ja.wikipedia.org/wiki/商人,Keyword,OK,,,
どうせやけだふだでもしめろへ一ばいやらかせ,1,どうせやけだふだでもしめろへ一ばいやらかせ,,,,,,
官軍,1,官軍,https://ja.wikipedia.org/wiki/官軍,Keyword,OK,,,
イヤどこを見てもにもつをはこぶてナア,1,イヤどこを見てもにもつをはこぶてナア,,,,,,
天秤棒かつぎ,1,天秤棒かつぎ,,,,,,
なんでも本所のしんるいへあづけるがよかろう,1,なんでも本所のしんるいへあづけるがよかろう,,,,,,
ぶたは慶喜のアダナ,1,ぶたは慶喜のアダナ,,,,,,
官軍の江戸開城は４月１１日,1,官軍の江戸開城は４月１１日,,,,,,
子供は菊紋,1,子供は菊紋,,,,,,
0380-17-2-(6),1,0380-17-2-(6),,,,,,
文久３年４月頃(18630040770),1,文久３年４月頃(18630040770),,,,,,
横浜町人仕方が無い,1,横浜町人仕方が無い,,,,,,
今度の評議ハ分からないで終っている,1,今度の評議ハ分からないで終っている,,,,,,
世界之穂羅会,1,世界之穂羅会,,,,,,
0380-17-2-(7),1,0380-17-2-(7),,,,,,
慶応２年末カ(18660550551),1,慶応２年末カ(18660550551),,,,,,
せかいのほらがい,1,せかいのほらがい,,,,,,
法螺貝が,1,法螺貝が,,,,,,
こうがんばってはうごきはねへ是からサアサアやっつけろやっつけろ,1,こうがんばってはうごきはねへ是からサアサアやっつけろやっつけろ,,,,,,
見ている人が,1,見ている人が,,,,,,
にっほん一のほらだほらだホイ是はぶたかしらん,1,にっほん一のほらだほらだホイ是はぶたかしらん,,,,,,
はなをつまんでいる大伴黒主は轡紋,1,はなをつまんでいる大伴黒主は轡紋,,,,,,
見ている山伏の袴にはタコが書かれている,1,見ている山伏の袴にはタコが書かれている,,,,,,
ブタは徳川慶喜,1,ブタは徳川慶喜,,,,,,
薩摩あり,1,薩摩あり,,,,,,
忠臣蔵九段めかけ合せりふ,1,忠臣蔵九段めかけ合せりふ,,,,,,
0380-17-2-(8),1,0380-17-2-(8),,,,,,
0380-17-2-(9),1,0380-17-2-(9),,,,,,
６７,1,６７,,,,,,
一応大政奉還とする,1,一応大政奉還とする,,,,,,
世の中のうらない,1,世の中のうらない,,,,,,
0380-17-2-(10),1,0380-17-2-(10),,,,,,
しめたしめた袋の鼡,1,しめたしめた袋の鼡,,,,,,
0380-17-2-(11),1,0380-17-2-(11),,,,,,
タコは会津か,1,タコは会津か,,,,,,
子供は桑名,1,子供は桑名,,,,,,
源平武者の戯,1,源平武者の戯,,,,,,
0380-17-2-(12),1,0380-17-2-(12),,,,,,
当り鬮講母子の寄合,1,当り鬮講母子の寄合,,,,,,
0380-17-2-(13),1,0380-17-2-(13),,,,,,
東方は徳川慶喜,1,東方は徳川慶喜,,,,,,
西方は明治天皇,1,西方は明治天皇,,,,,,
取やらぬ寄りによりたるそのなかに実を取人は唯の壱人,1,取やらぬ寄りによりたるそのなかに実を取人は唯の壱人,,,,,,
蝋燭市,1,蝋燭市,,,,,,
0380-17-2-(14),1,0380-17-2-(14),,,,,,
応需了古画,1,応需了古画,,,,,,
長岡,1,長岡,https://ja.wikipedia.org/wiki/長岡,Keyword,要確認,,,
熊本,1,熊本,https://ja.wikipedia.org/wiki/熊本,Keyword,変更,,,Place
堀,1,堀,https://ja.wikipedia.org/wiki/堀,Keyword,OK,,,
庄内など,1,庄内など,,,,,,
正札附身切もの大安売仕候,1,正札附身切もの大安売仕候,,,,,,
0380-17-2-(15),1,0380-17-2-(15),,,,,,
輪王寺,1,輪王寺,https://ja.wikipedia.org/wiki/輪王寺,Place,OK,,,
和漢諸軍談世間坊賎丸,1,和漢諸軍談世間坊賎丸,,,,,,
0380-17-2-(16),1,0380-17-2-(16),,,,,,
友喧嘩,1,友喧嘩,,,,,,
0380-17-2-(17),1,0380-17-2-(17),,,,,,
子供遊世直し祭り,1,子供遊世直し祭り,,,,,,
0380-17-2-(18),1,0380-17-2-(18),,,,,,
子供土用ばき水なぶりの図,1,子供土用ばき水なぶりの図,,,,,,
0380-17-2-(19),1,0380-17-2-(19),,,,,,
土用掃き,1,土用掃き,,,,,,
子供遊力くらべ,1,子供遊力くらべ,,,,,,
0380-17-2-(20),1,0380-17-2-(20),,,,,,
子供遊竹馬尽し,1,子供遊竹馬尽し,,,,,,
